combination,c1,c2,c3,ECL1,ECL2,ECL3,ECL4,ECL5,ECL6,ECL7,ECL8,ECL9,ECL10,ECL11,ECL12,ECL13
428,0,2.94,2.8,0.058,0,0.5307,0,1,0.0166,0,0.1024,0.4462,0.5736,0.0579,0.6594,0
429,25,2.94,2.8,0.0607,0,0.4048,0,1,0.0023,0,0.0996,0.4252,0.5562,0.0641,0.6431,0
430,50,2.94,2.8,0.045,0,0.2868,0,0.9397,0,0,0.0962,0.3545,0.569,0.0741,0.5004,0
431,100,2.94,2.8,0.0194,0,0.1063,0,0.5679,0.0151,0,0.0744,0.2469,0.5522,0.065,0.1913,0
432,200,2.94,2.8,0.0297,0,0,0,0.2386,0.2318,0,0.0922,0.2579,0.5385,0.024,0.004,0
433,400,2.94,2.8,0.0783,0,0,0,0.223,0.394,0,0.1928,0.7016,0.4889,0,0,0
434,800,2.94,2.8,0.1181,0,0,0,0.1765,0.4058,0,0.1716,0.8256,0.3612,0.0395,0,0
435,0,5.88,2.8,0.0588,0,0.4751,0,1,0.019,0,0.0995,0.49,0.5636,0.0579,0.5716,0
436,25,5.88,2.8,0.0601,0,0.4106,0,1,0.0029,0,0.096,0.4423,0.5565,0.0666,0.5736,0
437,50,5.88,2.8,0.0483,0,0.2904,0,0.9631,0,0,0.0913,0.359,0.5685,0.0761,0.5183,0
438,100,5.88,2.8,0.0265,0,0.1019,0,0.6984,0.0017,0,0.0777,0.26,0.5625,0.0723,0.2313,0
439,200,5.88,2.8,0.0351,0,0,0,0.2817,0.1756,0,0.0816,0.2629,0.554,0.021,0.0146,0
440,400,5.88,2.8,0.0818,0,0,0,0.2298,0.3797,0,0.1935,0.7032,0.5154,0,0,0
441,800,5.88,2.8,0.1133,0,0,0,0.1649,0.4197,0,0.1668,0.8324,0.3643,0.035,0,0
442,0,11.75,2.8,0.0494,0,0.2746,0,0.9684,0.026,0,0.0997,0.4709,0.3959,0.0589,0.4817,0
443,25,11.75,2.8,0.0518,0,0.2561,0,0.9999,0.0032,0,0.0914,0.4458,0.4632,0.0601,0.4463,0
444,50,11.75,2.8,0.0463,0,0.2197,0,0.9517,0,0,0.0882,0.3585,0.4941,0.0709,0.411,0
445,100,11.75,2.8,0.0287,0,0.1052,0,0.6265,0.0093,0.0002,0.083,0.2637,0.5041,0.0661,0.2558,0
446,200,11.75,2.8,0.0633,0,0,0,0.2685,0.1815,0,0.0859,0.2446,0.4875,0.023,0.0299,0
447,400,11.75,2.8,0.1205,0,0,0,0.209,0.3531,0,0.1908,0.6869,0.4694,0.0012,0,0
448,800,11.75,2.8,0.1338,0,0,0,0.171,0.407,0,0.1836,0.8138,0.3592,0.0393,0,0
449,0,23.5,2.8,0,0,0.2743,0,0.4497,0.0913,0,0.1055,0.4262,0.3289,0.043,0.5728,0.1611
450,25,23.5,2.8,0,0,0.2729,0,0.4514,0.0617,0,0.1012,0.3843,0.3224,0.054,0.6021,0.1745
451,50,23.5,2.8,0,0,0.2648,0,0.4361,0.0381,0.003,0.0939,0.3203,0.3358,0.0656,0.5543,0.2357
452,100,23.5,2.8,0,0,0.2317,0,0.3933,0.0605,0.0083,0.0782,0.2291,0.3458,0.0545,0.409,0.2182
453,200,23.5,2.8,0.0019,0,0.0341,0,0.3075,0.1725,0.0002,0.0717,0.2558,0.3515,0.0188,0.1876,0.1734
454,400,23.5,2.8,0.0163,0.0015,0,0,0.2667,0.2359,0,0.1843,0.7123,0.3467,0.0015,0.1023,0.1508
455,800,23.5,2.8,0.0486,0,0,0,0.1903,0.2643,0,0.1541,0.8138,0.2673,0.0314,0.0634,0.0803
456,0,47,2.8,0,0,0.0151,0,0.0524,0,0,0.0506,0.1456,0.1888,0.0453,0.5126,0.052
457,25,47,2.8,0,0,0.0289,0,0.058,0,0,0.054,0.1551,0.184,0.0421,0.5068,0.0478
458,50,47,2.8,0,0,0.0185,0,0.0579,0,0,0.0542,0.1524,0.1858,0.0597,0.4684,0.0665
459,100,47,2.8,0,0,0.002,0,0.0488,0,0,0.0565,0.1417,0.1536,0.0532,0.391,0.0524
460,200,47,2.8,0,0,0,0,0.0347,0,0,0.0651,0.1526,0.1571,0.0117,0.2829,0.0285
461,400,47,2.8,0,0,0,0,0.015,0,0,0.1191,0.2916,0.1349,0,0.2218,0.0183
462,800,47,2.8,0,0,0,0,0.0124,0,0,0.1385,0.3197,0.0756,0.0417,0.1262,0.0045
463,0,94,2.8,0,0,0,0,0,0,0,0.0277,0.088,0.0874,0.0912,0.4317,0.0223
464,25,94,2.8,0,0,0,0,0,0,0,0.0377,0.0889,0.0707,0.0859,0.4371,0.018
465,50,94,2.8,0,0,0,0,0,0,0,0.0352,0.0919,0.0768,0.0936,0.418,0.0199
466,100,94,2.8,0,0,0,0,0,0,0,0.0344,0.0917,0.0717,0.084,0.3518,0.0186
467,200,94,2.8,0,0,0,0,0,0,0,0.0273,0.1011,0.0629,0.0495,0.275,0.0046
468,400,94,2.8,0,0,0,0,0,0,0,0.0594,0.1224,0.0424,0.0612,0.2218,0.0044
469,800,94,2.8,0,0,0,0,0,0,0,0.0982,0.074,0.0112,0.0589,0.1281,0
470,0,188,2.8,0,0,0,0,0,0,0,0.0093,0.0783,0.0452,0.0227,0.4173,0.0364
471,25,188,2.8,0,0,0,0,0,0,0,0.0086,0.0723,0.0424,0.0203,0.4093,0.0274
472,50,188,2.8,0,0,0,0,0,0,0,0.0136,0.0673,0.0411,0.0247,0.3946,0.0296
473,100,188,2.8,0,0,0,0,0,0,0,0.0097,0.0689,0.036,0.0205,0.3461,0.023
474,200,188,2.8,0,0,0,0,0,0,0,0.0162,0.0747,0.0305,0.0071,0.2685,0.0059
475,400,188,2.8,0,0,0,0,0,0,0,0.0429,0.0718,0.015,0,0.2281,0.0026
476,800,188,2.8,0,0,0,0,0,0,0,0.0825,0.0438,0.0004,0.004,0.1218,0.0003
477,0,376,2.8,0,0,0,0,0,0,0,0.0075,0.0524,0.0319,0.0009,0.4067,0.0436
478,25,376,2.8,0,0,0,0,0,0,0,0.0044,0.0482,0.0328,0,0.3987,0.0436
479,50,376,2.8,0,0,0,0,0,0,0,0.0027,0.0392,0.0307,0.0007,0.3843,0.0409
480,100,376,2.8,0,0,0,0,0,0,0,0.0052,0.0352,0.0278,0,0.3366,0.0384
481,200,376,2.8,0,0,0,0,0,0,0,0.0053,0.0509,0.0192,0,0.2712,0.0137
482,400,376,2.8,0,0,0,0,0,0,0,0.0475,0.0691,0.008,0,0.2246,0.0044
483,800,376,2.8,0,0,0,0,0,0,0,0.0755,0.0369,0.0005,0,0.1179,0
484,0,752,2.8,0,0,0,0,0,0,0,0.0127,0.0513,0.0478,0.006,0.4187,0.0649
485,25,752,2.8,0,0,0,0,0,0,0,0.0156,0.0475,0.0457,0.0035,0.4132,0.0729
486,50,752,2.8,0,0,0,0,0,0,0,0.0143,0.0435,0.0438,0.0059,0.3942,0.0621
487,100,752,2.8,0,0,0,0,0,0,0,0.0126,0.0332,0.0424,0.0046,0.3541,0.0506
488,200,752,2.8,0,0,0,0,0,0,0,0.0223,0.0427,0.0348,0.0004,0.2844,0.0336
489,400,752,2.8,0,0,0,0,0,0,0,0.0374,0.0708,0.0228,0,0.2201,0.0196
490,800,752,2.8,0,0,0,0,0,0,0,0.0524,0.0463,0.0117,0,0.1269,0.0082
491,0,0,5.6,0,0,0.0909,0,0.9162,0,0,0.0337,0.0242,0.5674,0,0.2438,0
492,25,0,5.6,0,0,0.0499,0,0.8143,0,0,0.0323,0.0201,0.5482,0,0.1988,0
493,50,0,5.6,0,0,0.0095,0,0.6801,0,0,0.0295,0.0223,0.5367,0,0.1252,0
494,100,0,5.6,0,0,0,0,0.3758,0.0026,0,0.0422,0.0524,0.5205,0,0.0293,0
495,200,0,5.6,0.0537,0,0,0,0.2,0.1375,0,0.1178,0.2214,0.517,0,0.001,0
496,400,0,5.6,0.1389,0,0,0,0.2842,0.2772,0,0.2571,0.6004,0.4409,0.0194,0.003,0
497,800,0,5.6,0.1888,0,0,0,0.2551,0.3692,0,0.223,0.7106,0.2865,0.0676,0.0049,0
498,0,2.94,5.6,0,0,0.0826,0,0.9735,0,0,0.0174,0.0122,0.5466,0,0.2406,0
499,25,2.94,5.6,0,0,0.0422,0,0.904,0,0,0.0191,0.0038,0.5372,0,0.1741,0
500,50,2.94,5.6,0,0,0.0042,0,0.7218,0,0,0.0168,0.0089,0.5223,0,0.1109,0
501,100,2.94,5.6,0,0,0,0,0.4135,0,0,0.0284,0.0417,0.5166,0,0.0168,0
502,200,2.94,5.6,0.0448,0,0,0,0.1627,0.1191,0,0.1025,0.2185,0.4827,0,0,0
503,400,2.94,5.6,0.1285,0,0,0,0.2595,0.2797,0,0.2475,0.6709,0.3892,0.0241,0,0
504,800,2.94,5.6,0.184,0,0,0,0.2496,0.3352,0,0.2065,0.7668,0.2861,0.0678,0,0
505,0,5.88,5.6,0,0,0.0856,0,0.9825,0,0,0.0128,0.0041,0.5356,0,0.2535,0
506,25,5.88,5.6,0,0,0.0435,0,0.8891,0,0,0.0098,0.0024,0.541,0,0.232,0
507,50,5.88,5.6,0,0,0.0049,0,0.7451,0,0,0.0098,0.0064,0.5131,0,0.1296,0
508,100,5.88,5.6,0,0,0,0,0.4087,0,0,0.0169,0.0348,0.5004,0,0.0236,0
509,200,5.88,5.6,0.0361,0,0,0,0.1837,0.099,0,0.0947,0.1925,0.4916,0,0,0
510,400,5.88,5.6,0.137,0,0,0,0.2575,0.2567,0,0.243,0.5867,0.4211,0.0063,0,0
511,800,5.88,5.6,0.1971,0,0,0,0.25,0.332,0,0.2132,0.7197,0.2862,0.0632,0,0
512,0,11.75,5.6,0,0,0.1074,0,0.9798,0,0,0.0085,0.0047,0.4833,0,0.3747,0
513,25,11.75,5.6,0,0,0.0631,0,0.8745,0,0,0.0052,0.0023,0.4463,0,0.3189,0
514,50,11.75,5.6,0,0,0.017,0,0.662,0,0,0.0052,0.0071,0.4338,0,0.2308,0
515,100,11.75,5.6,0,0,0,0,0.4406,0,0,0.0177,0.036,0.3929,0,0.0673,0
516,200,11.75,5.6,0.0666,0,0,0,0.1936,0.0871,0,0.0784,0.1701,0.4271,0,0.0182,0
517,400,11.75,5.6,0.1598,0,0,0,0.291,0.2302,0,0.2412,0.547,0.387,0.016,0.0145,0
518,800,11.75,5.6,0.2175,0,0,0,0.2733,0.2957,0,0.2125,0.7398,0.2849,0.066,0.0053,0
519,0,23.5,5.6,0,0,0.1866,0,0.3875,0.0346,0,0.0202,0.0056,0.3381,0,0.484,0.2176
520,25,23.5,5.6,0,0,0.1585,0,0.373,0.0003,0,0.0062,0.0037,0.3224,0,0.4501,0.2204
521,50,23.5,5.6,0,0,0.1159,0,0.3674,0,0,0.0035,0.008,0.3237,0,0.3923,0.2221
522,100,23.5,5.6,0,0,0.0315,0,0.3401,0.0018,0,0.0154,0.0399,0.3106,0,0.3171,0.1791
523,200,23.5,5.6,0,0,0.0063,0,0.212,0.1114,0,0.0677,0.1807,0.3026,0,0.2646,0.163
524,400,23.5,5.6,0.031,0,0.0067,0,0.2585,0.174,0,0.1983,0.5191,0.3118,0.004,0.2198,0.1446
525,800,23.5,5.6,0.0778,0,0,0,0.2481,0.2127,0,0.2025,0.6414,0.2124,0.0672,0.0812,0.1245
526,0,47,5.6,0,0,0.0053,0,0.0265,0,0,0.015,0.0392,0.2446,0,0.3954,0.0553
527,25,47,5.6,0,0,0,0,0.0302,0,0,0.0097,0.0414,0.2077,0,0.4146,0.0353
528,50,47,5.6,0,0,0,0,0.0112,0,0,0.0136,0.0471,0.1966,0,0.4079,0.0295
529,100,47,5.6,0,0,0,0,0.018,0,0,0.0309,0.0697,0.2006,0,0.349,0.0222
530,200,47,5.6,0,0,0,0,0.0119,0,0,0.0545,0.1191,0.1931,0,0.3065,0.0139
531,400,47,5.6,0,0,0,0,0.0089,0,0,0.1365,0.2071,0.163,0.0354,0.2692,0.0137
532,800,47,5.6,0,0,0,0,0.0118,0,0,0.1588,0.1897,0.0963,0.0794,0.1722,0.0091
533,0,94,5.6,0,0,0,0,0,0,0,0,0.0634,0.0649,0,0.3734,0.0052
534,25,94,5.6,0,0,0,0,0,0,0,0,0.0657,0.0687,0,0.3667,0.0089
535,50,94,5.6,0,0,0,0,0,0,0,0,0.069,0.0778,0,0.3604,0
536,100,94,5.6,0,0,0,0,0,0,0,0,0.0691,0.0621,0,0.3133,0.0013
537,200,94,5.6,0,0,0,0,0,0,0,0.0113,0.0854,0.0513,0.0011,0.2913,0.002
538,400,94,5.6,0,0,0,0,0,0,0,0.0651,0.1004,0.052,0.0414,0.2547,0.0021
539,800,94,5.6,0,0,0,0,0,0,0,0.0981,0.0631,0.0341,0.0704,0.152,0
540,0,188,5.6,0,0,0,0,0,0,0,0,0.0506,0.0553,0,0.376,0.0043
541,25,188,5.6,0,0,0,0,0,0,0,0,0.042,0.0471,0,0.3736,0.0045
542,50,188,5.6,0,0,0,0,0,0,0,0,0.0419,0.0412,0,0.3592,0.0046
543,100,188,5.6,0,0,0,0,0,0,0,0,0.0483,0.0389,0,0.3177,0.0025
544,200,188,5.6,0,0,0,0,0,0,0,0.0037,0.0647,0.0281,0,0.2945,0
545,400,188,5.6,0,0,0,0,0,0,0,0.0342,0.0652,0.0301,0,0.2517,0.0002
546,800,188,5.6,0,0,0,0,0,0,0,0.0689,0.0415,0.0119,0.0019,0.1458,0.0007
547,0,376,5.6,0,0,0,0,0,0,0,0,0.0049,0.0407,0,0.3737,0.0105
548,25,376,5.6,0,0,0,0,0,0,0,0,0.0017,0.0353,0,0.3641,0.0104
549,50,376,5.6,0,0,0,0,0,0,0,0,0.002,0.0406,0,0.3505,0.0123
550,100,376,5.6,0,0,0,0,0,0,0,0,0.0091,0.0358,0,0.3092,0.0052
551,200,376,5.6,0,0,0,0,0,0,0,0,0.0439,0.0336,0,0.2771,0.0004
552,400,376,5.6,0,0,0,0,0,0,0,0.016,0.0701,0.023,0,0.2448,0.0015
553,800,376,5.6,0,0,0,0,0,0,0,0.0366,0.053,0.0089,0,0.1535,0.0008
554,0,752,5.6,0.0171,0.008,0.0296,0,0.0089,0,0.0012,0.0504,0.051,0.1046,0.0433,0.4239,0.101
555,25,752,5.6,0.0176,0.0075,0.0304,0,0.0083,0,0.0026,0.0495,0.0488,0.1035,0.0429,0.4227,0.1018
556,50,752,5.6,0.016,0.0064,0.024,0,0.0033,0,0.0021,0.0465,0.0475,0.1062,0.04,0.4012,0.0977
557,100,752,5.6,0.0143,0.0035,0.0246,0,0.0058,0,0.004,0.0463,0.0539,0.1055,0.0406,0.3712,0.0931
558,200,752,5.6,0.0271,0.0022,0.0207,0,0.0099,0,0.0032,0.0534,0.0757,0.097,0.0349,0.3392,0.0792
559,400,752,5.6,0.0326,0.0019,0.0201,0,0.0074,0,0.0034,0.0767,0.1157,0.0873,0.036,0.3047,0.0804
560,800,752,5.6,0.0146,0.0007,0.0051,0,0.0026,0,0.0022,0.0802,0.0888,0.0572,0.028,0.2051,0.0655
